session_id;pergunta;resposta;intent;timestamp;confirmada
ccf88f7d-318b-4e8d-ade0-03e004b0d7ce;queria compra um Xbox Series X;Encontrei: Xbox Series X - R$ 4699.90;consulta_estoque;2025-09-02T18:12:13.757335;False
ccf88f7d-318b-4e8d-ade0-03e004b0d7ce;Adicionar produto ID 2;Produto Xbox Series X adicionado ao carrinho;adicionar_carrinho;2025-09-02T18:12:21.252207;True
ccf88f7d-318b-4e8d-ade0-03e004b0d7ce;Ver carrinho;Visualização do carrinho;ver_carrinho;2025-09-02T18:12:43.171086;True
ccf88f7d-318b-4e8d-ade0-03e004b0d7ce;Finalizar compra;Compra finalizada com sucesso;finalizar_compra;2025-09-02T18:12:45.167475;True
ccf88f7d-318b-4e8d-ade0-03e004b0d7ce;queria compra um  Xbox Series X;Encontrei: Xbox Series X - R$ 4699.90;consulta_estoque;2025-09-02T18:16:14.629106;False
ccf88f7d-318b-4e8d-ade0-03e004b0d7ce;Adicionar produto ID 2;Produto Xbox Series X adicionado ao carrinho;adicionar_carrinho;2025-09-02T18:16:33.687451;True
ccf88f7d-318b-4e8d-ade0-03e004b0d7ce;Ver carrinho;Visualização do carrinho;ver_carrinho;2025-09-02T18:16:35.876771;True
ccf88f7d-318b-4e8d-ade0-03e004b0d7ce;queria compra um Xbox Series X;Encontrei: Xbox Series X - R$ 4699.90;consulta_estoque;2025-09-02T18:30:39.195831;False
ccf88f7d-318b-4e8d-ade0-03e004b0d7ce;Adicionar produto ID 2;Produto Xbox Series X adicionado ao carrinho;adicionar_carrinho;2025-09-02T18:30:43.553491;True
ccf88f7d-318b-4e8d-ade0-03e004b0d7ce;quantos dedos tem uma pessoa?;Não sei responder;unknown;2025-09-02T19:21:51.764537;False
ccf88f7d-318b-4e8d-ade0-03e004b0d7ce;quantos dedos tem uma pessoa?;uma pessoa, normalmente tem 20 dedos, 10 nas mãos e 10 nos pés;Biologia;2025-09-02T19:22:36.749566;True
ccf88f7d-318b-4e8d-ade0-03e004b0d7ce;quantos dedos tem uma pessoa?;uma pessoa, normalmente tem 20 dedos, 10 nas mãos e 10 nos pés;Biologia;2025-09-02T19:22:49.144181;False
ccf88f7d-318b-4e8d-ade0-03e004b0d7ce;quantos dedos tem uma pessoa?;uma pessoa, normalmente tem 20 dedos, 10 nas mãos e 10 nos pés;Biologia;2025-09-02T19:22:53.084663;True
ccf88f7d-318b-4e8d-ade0-03e004b0d7ce;quantos dedos uma pessoa tem na mão?;uma pessoa, normalmente tem 20 dedos, 10 nas mãos e 10 nos pés;Biologia;2025-09-02T19:23:06.152723;False
ccf88f7d-318b-4e8d-ade0-03e004b0d7ce;quantos dedos uma pessoa tem na mão?;uma pessoa, normalmente tem 20 dedos, 10 nas mãos e 10 nos pés;Biologia;2025-09-02T19:23:19.588482;True
ccf88f7d-318b-4e8d-ade0-03e004b0d7ce;quero comprar um console;Finalização de compra;finalizar_compra;2025-09-02T19:23:39.623020;True
